Content of this URL:  ftp://ftp.tceq.state.tx.us/pub/WaterResourceManagement/WaterQuality/DataCollection/CleanRivers/public/stations.txt
find record with SiteCode 16051 in database, skip it...
find record with SiteCode 20605 in database, skip it...
find record with SiteCode 12712 in database, skip it...
find record with SiteCode 18735 in database, skip it...
find record with SiteCode 20604 in database, skip it...
find record with SiteCode 12710 in database, skip it...
find record with SiteCode 12711 in database, skip it...
find record with SiteCode 15707 in database, skip it...
find record with SiteCode 20606 in database, skip it...
find record with SiteCode 18814 in database, skip it...
find record with SiteCode 16307 in database, skip it...
find record with SiteCode 13646 in database, skip it...
find record with SiteCode 11593 in database, skip it...
find record with SiteCode 13643 in database, skip it...
find record with SiteCode 11592 in database, skip it...
find record with SiteCode 12129 in database, skip it...
find record with SiteCode 17321 in database, skip it...
find record with SiteCode 12128 in database, skip it...
find record with SiteCode 12127 in database, skip it...
find record with SiteCode 18461 in database, skip it...
find record with SiteCode 18462 in database, skip it...
find record with SiteCode 18463 in database, skip it...
find record with SiteCode 18464 in database, skip it...
find record with SiteCode 18466 in database, skip it...
find record with SiteCode 18467 in database, skip it...
find record with SiteCode 18468 in database, skip it...
find record with SiteCode 13821 in database, skip it...
find record with SiteCode 13824 in database, skip it...
find record with SiteCode 13825 in database, skip it...
find record with SiteCode 13826 in database, skip it...
find record with SiteCode 13827 in database, skip it...
find record with SiteCode 13828 in database, skip it...
find record with SiteCode 14760 in database, skip it...
find record with SiteCode 14763 in database, skip it...
find record with SiteCode 14762 in database, skip it...
find record with SiteCode 14761 in database, skip it...
find record with SiteCode 14764 in database, skip it...
find record with SiteCode 17795 in database, skip it...
find record with SiteCode 15091 in database, skip it...
find record with SiteCode 14765 in database, skip it...
find record with SiteCode 13402 in database, skip it...
find record with SiteCode 14767 in database, skip it...
find record with SiteCode 13403 in database, skip it...
find record with SiteCode 14393 in database, skip it...
find record with SiteCode 14949 in database, skip it...
find record with SiteCode 18450 in database, skip it...
find record with SiteCode 18270 in database, skip it...
find record with SiteCode 18607 in database, skip it...
find record with SiteCode 18610 in database, skip it...
find record with SiteCode 18613 in database, skip it...
find record with SiteCode 18620 in database, skip it...
find record with SiteCode 18273 in database, skip it...
find record with SiteCode 14758 in database, skip it...
find record with SiteCode 17801 in database, skip it...
find record with SiteCode 16492 in database, skip it...
find record with SiteCode 17704 in database, skip it...
find record with SiteCode 17705 in database, skip it...
find record with SiteCode 17706 in database, skip it...
find record with SiteCode 17707 in database, skip it...
find record with SiteCode 17712 in database, skip it...
find record with SiteCode 17806 in database, skip it...
find record with SiteCode 17803 in database, skip it...
find record with SiteCode 14768 in database, skip it...
find record with SiteCode 18269 in database, skip it...
find record with SiteCode 17802 in database, skip it...
find record with SiteCode 18272 in database, skip it...
find record with SiteCode 14777 in database, skip it...
find record with SiteCode 17797 in database, skip it...
find record with SiteCode 18230 in database, skip it...
find record with SiteCode 18271 in database, skip it...
find record with SiteCode 17807 in database, skip it...
find record with SiteCode 17796 in database, skip it...
find record with SiteCode 17799 in database, skip it...
find record with SiteCode 14771 in database, skip it...
find record with SiteCode 14773 in database, skip it...
find record with SiteCode 18228 in database, skip it...
find record with SiteCode 17805 in database, skip it...
find record with SiteCode 18268 in database, skip it...
find record with SiteCode 14770 in database, skip it...
find record with SiteCode 16848 in database, skip it...
find record with SiteCode 17710 in database, skip it...
find record with SiteCode 17711 in database, skip it...
find record with SiteCode 17808 in database, skip it...
find record with SiteCode 17708 in database, skip it...
find record with SiteCode 17800 in database, skip it...
find record with SiteCode 18231 in database, skip it...
find record with SiteCode 17804 in database, skip it...
find record with SiteCode 17798 in database, skip it...
find record with SiteCode 17713 in database, skip it...
find record with SiteCode 18232 in database, skip it...
find record with SiteCode 20066 in database, skip it...
find record with SiteCode 12941 in database, skip it...
find record with SiteCode 12950 in database, skip it...
find record with SiteCode 12952 in database, skip it...
find record with SiteCode 12953 in database, skip it...
find record with SiteCode 12951 in database, skip it...
find record with SiteCode 12949 in database, skip it...
find record with SiteCode 12947 in database, skip it...
find record with SiteCode 12948 in database, skip it...
find record with SiteCode 15397 in database, skip it...
find record with SiteCode 12946 in database, skip it...
find record with SiteCode 17666 in database, skip it...
find record with SiteCode 13294 in database, skip it...
find record with SiteCode 13295 in database, skip it...
find record with SiteCode 20513 in database, skip it...
find record with SiteCode 11503 in database, skip it...
find record with SiteCode 11405 in database, skip it...
find record with SiteCode 11404 in database, skip it...
find record with SiteCode 15460 in database, skip it...
find record with SiteCode 17319 in database, skip it...
find record with SiteCode 17622 in database, skip it...
find record with SiteCode 15455 in database, skip it...
find record with SiteCode 11505 in database, skip it...
find record with SiteCode 11500 in database, skip it...
find record with SiteCode 11499 in database, skip it...
find record with SiteCode 11504 in database, skip it...
find record with SiteCode 17623 in database, skip it...
find record with SiteCode 11501 in database, skip it...
find record with SiteCode 11502 in database, skip it...
find record with SiteCode 16456 in database, skip it...
find record with SiteCode 15065 in database, skip it...
find record with SiteCode 17539 in database, skip it...
find record with SiteCode 15765 in database, skip it...
find record with SiteCode 18000 in database, skip it...
find record with SiteCode 17996 in database, skip it...
find record with SiteCode 13046 in database, skip it...
find record with SiteCode 16153 in database, skip it...
find record with SiteCode 16152 in database, skip it...
find record with SiteCode 16155 in database, skip it...
find record with SiteCode 13073 in database, skip it...
find record with SiteCode 16142 in database, skip it...
find record with SiteCode 16141 in database, skip it...
find record with SiteCode 13074 in database, skip it...
find record with SiteCode 15576 in database, skip it...
find record with SiteCode 15555 in database, skip it...
find record with SiteCode 15577 in database, skip it...
find record with SiteCode 15578 in database, skip it...
find record with SiteCode 15556 in database, skip it...
find record with SiteCode 15579 in database, skip it...
find record with SiteCode 16154 in database, skip it...
find record with SiteCode 15580 in database, skip it...
find record with SiteCode 15557 in database, skip it...
find record with SiteCode 15558 in database, skip it...
find record with SiteCode 15559 in database, skip it...
find record with SiteCode 15560 in database, skip it...
find record with SiteCode 15581 in database, skip it...
find record with SiteCode 15561 in database, skip it...
find record with SiteCode 15582 in database, skip it...
find record with SiteCode 15547 in database, skip it...
find record with SiteCode 16136 in database, skip it...
find record with SiteCode 15562 in database, skip it...
find record with SiteCode 15563 in database, skip it...
find record with SiteCode 15564 in database, skip it...
find record with SiteCode 15565 in database, skip it...
find record with SiteCode 15566 in database, skip it...
find record with SiteCode 16135 in database, skip it...
find record with SiteCode 15548 in database, skip it...
find record with SiteCode 15567 in database, skip it...
find record with SiteCode 16151 in database, skip it...
find record with SiteCode 15568 in database, skip it...
find record with SiteCode 15569 in database, skip it...
find record with SiteCode 15570 in database, skip it...
find record with SiteCode 15571 in database, skip it...
find record with SiteCode 15572 in database, skip it...
find record with SiteCode 16147 in database, skip it...
find record with SiteCode 15549 in database, skip it...
find record with SiteCode 15573 in database, skip it...
find record with SiteCode 16146 in database, skip it...
find record with SiteCode 15574 in database, skip it...
find record with SiteCode 15550 in database, skip it...
find record with SiteCode 15551 in database, skip it...
find record with SiteCode 15552 in database, skip it...
find record with SiteCode 16145 in database, skip it...
find record with SiteCode 15575 in database, skip it...
find record with SiteCode 20098 in database, skip it...
find record with SiteCode 16140 in database, skip it...
find record with SiteCode 15554 in database, skip it...
find record with SiteCode 13071 in database, skip it...
find record with SiteCode 13559 in database, skip it...
find record with SiteCode 13078 in database, skip it...
find record with SiteCode 13075 in database, skip it...
find record with SiteCode 16445 in database, skip it...
find record with SiteCode 13089 in database, skip it...
find record with SiteCode 13072 in database, skip it...
find record with SiteCode 13087 in database, skip it...
find record with SiteCode 13085 in database, skip it...
find record with SiteCode 13086 in database, skip it...
find record with SiteCode 13082 in database, skip it...
find record with SiteCode 13088 in database, skip it...
find record with SiteCode 13080 in database, skip it...
find record with SiteCode 13076 in database, skip it...
find record with SiteCode 13083 in database, skip it...
find record with SiteCode 16444 in database, skip it...
find record with SiteCode 16446 in database, skip it...
find record with SiteCode 16137 in database, skip it...
find record with SiteCode 13077 in database, skip it...
find record with SiteCode 13557 in database, skip it...
find record with SiteCode 13084 in database, skip it...
find record with SiteCode 13079 in database, skip it...
find record with SiteCode 18485 in database, skip it...
find record with SiteCode 13782 in database, skip it...
find record with SiteCode 16144 in database, skip it...
find record with SiteCode 16134 in database, skip it...
find record with SiteCode 16132 in database, skip it...
find record with SiteCode 13081 in database, skip it...
find record with SiteCode 14852 in database, skip it...
find record with SiteCode 14853 in database, skip it...
find record with SiteCode 20103 in database, skip it...
find record with SiteCode 20102 in database, skip it...
find record with SiteCode 13070 in database, skip it...
find record with SiteCode 14850 in database, skip it...
find record with SiteCode 14849 in database, skip it...
find record with SiteCode 14851 in database, skip it...
find record with SiteCode 20200 in database, skip it...
find record with SiteCode 17650 in database, skip it...
find record with SiteCode 13558 in database, skip it...
find record with SiteCode 15553 in database, skip it...
find record with SiteCode 16143 in database, skip it...
find record with SiteCode 16131 in database, skip it...
find record with SiteCode 16133 in database, skip it...
find record with SiteCode 16138 in database, skip it...
find record with SiteCode 16139 in database, skip it...
find record with SiteCode 15794 in database, skip it...
find record with SiteCode 13131 in database, skip it...
find record with SiteCode 13715 in database, skip it...
find record with SiteCode 13100 in database, skip it...
find record with SiteCode 13124 in database, skip it...
find record with SiteCode 12694 in database, skip it...
find record with SiteCode 17982 in database, skip it...
find record with SiteCode 10854 in database, skip it...
find record with SiteCode 16835 in database, skip it...
find record with SiteCode 17898 in database, skip it...
find record with SiteCode 20773 in database, skip it...
find record with SiteCode 18646 in database, skip it...
find record with SiteCode 20761 in database, skip it...
find record with SiteCode 17142 in database, skip it...
find record with SiteCode 18645 in database, skip it...
find record with SiteCode 20764 in database, skip it...
find record with SiteCode 12980 in database, skip it...
find record with SiteCode 20762 in database, skip it...
find record with SiteCode 17900 in database, skip it...
find record with SiteCode 20763 in database, skip it...
find record with SiteCode 17899 in database, skip it...
find record with SiteCode 20760 in database, skip it...
find record with SiteCode 12981 in database, skip it...
find record with SiteCode 12982 in database, skip it...
find record with SiteCode 17436 in database, skip it...
find record with SiteCode 10636 in database, skip it...
find record with SiteCode 15253 in database, skip it...
find record with SiteCode 16076 in database, skip it...
find record with SiteCode 10197 in database, skip it...
find record with SiteCode 18693 in database, skip it...
find record with SiteCode 18506 in database, skip it...
find record with SiteCode 18730 in database, skip it...
find record with SiteCode 18048 in database, skip it...
find record with SiteCode 18731 in database, skip it...
find record with SiteCode 18507 in database, skip it...
find record with SiteCode 13165 in database, skip it...
find record with SiteCode 13164 in database, skip it...
find record with SiteCode 13166 in database, skip it...
find record with SiteCode 13167 in database, skip it...
find record with SiteCode 13162 in database, skip it...
find record with SiteCode 11738 in database, skip it...
find record with SiteCode 11737 in database, skip it...
find record with SiteCode 11736 in database, skip it...
find record with SiteCode 15365 in database, skip it...
find record with SiteCode 15361 in database, skip it...
find record with SiteCode 15364 in database, skip it...
find record with SiteCode 10483 in database, skip it...
find record with SiteCode 20344 in database, skip it...
find record with SiteCode 20345 in database, skip it...
find record with SiteCode 10583 in database, skip it...
find record with SiteCode 10582 in database, skip it...
find record with SiteCode 15477 in database, skip it...
find record with SiteCode 15422 in database, skip it...
find record with SiteCode 15421 in database, skip it...
find record with SiteCode 13450 in database, skip it...
find record with SiteCode 13452 in database, skip it...
find record with SiteCode 13451 in database, skip it...
find record with SiteCode 18289 in database, skip it...
find record with SiteCode 18260 in database, skip it...
find record with SiteCode 18290 in database, skip it...
find record with SiteCode 18611 in database, skip it...
find record with SiteCode 14846 in database, skip it...
find record with SiteCode 14848 in database, skip it...
find record with SiteCode 14847 in database, skip it...
find record with SiteCode 13458 in database, skip it...
find record with SiteCode 18111 in database, skip it...
find record with SiteCode 18112 in database, skip it...
find record with SiteCode 18113 in database, skip it...
find record with SiteCode 18110 in database, skip it...
find record with SiteCode 18114 in database, skip it...
find record with SiteCode 18115 in database, skip it...
find record with SiteCode 18116 in database, skip it...
find record with SiteCode 18117 in database, skip it...
find record with SiteCode 18118 in database, skip it...
find record with SiteCode 18119 in database, skip it...
find record with SiteCode 18121 in database, skip it...
find record with SiteCode 18122 in database, skip it...
find record with SiteCode 18108 in database, skip it...
find record with SiteCode 18109 in database, skip it...
find record with SiteCode 18120 in database, skip it...
find record with SiteCode 18257 in database, skip it...
find record with SiteCode 18599 in database, skip it...
find record with SiteCode 18291 in database, skip it...
find record with SiteCode 18292 in database, skip it...
find record with SiteCode 13457 in database, skip it...
find record with SiteCode 18106 in database, skip it...
find record with SiteCode 18107 in database, skip it...
find record with SiteCode 13456 in database, skip it...
find record with SiteCode 13454 in database, skip it...
find record with SiteCode 13453 in database, skip it...
find record with SiteCode 13455 in database, skip it...
find record with SiteCode 18105 in database, skip it...
find record with SiteCode 15202 in database, skip it...
find record with SiteCode 17925 in database, skip it...
find record with SiteCode 17970 in database, skip it...
find record with SiteCode 13355 in database, skip it...
find record with SiteCode 18437 in database, skip it...
find record with SiteCode 18549 in database, skip it...
find record with SiteCode 18550 in database, skip it...
find record with SiteCode 17582 in database, skip it...
find record with SiteCode 16700 in database, skip it...
find record with SiteCode 10979 in database, skip it...
find record with SiteCode 18862 in database, skip it...
find record with SiteCode 18411 in database, skip it...
find record with SiteCode 14476 in database, skip it...
find record with SiteCode 15059 in database, skip it...
find record with SiteCode 12270 in database, skip it...
find record with SiteCode 12269 in database, skip it...
find record with SiteCode 16028 in database, skip it...
find record with SiteCode 16708 in database, skip it...
find record with SiteCode 18662 in database, skip it...
find record with SiteCode 16027 in database, skip it...
find record with SiteCode 17620 in database, skip it...
find record with SiteCode 16309 in database, skip it...
find record with SiteCode 16315 in database, skip it...
find record with SiteCode 12490 in database, skip it...
find record with SiteCode 13693 in database, skip it...
find record with SiteCode 17978 in database, skip it...
find record with SiteCode 12489 in database, skip it...
find record with SiteCode 12487 in database, skip it...
find record with SiteCode 12488 in database, skip it...
find record with SiteCode 17979 in database, skip it...
find record with SiteCode 20176 in database, skip it...
find record with SiteCode 14902 in database, skip it...
find record with SiteCode 12498 in database, skip it...
find record with SiteCode 12493 in database, skip it...
find record with SiteCode 12500 in database, skip it...
find record with SiteCode 12501 in database, skip it...
find record with SiteCode 13555 in database, skip it...
find record with SiteCode 15959 in database, skip it...
find record with SiteCode 12499 in database, skip it...
find record with SiteCode 12495 in database, skip it...
find record with SiteCode 12494 in database, skip it...
find record with SiteCode 18187 in database, skip it...
find record with SiteCode 15958 in database, skip it...
find record with SiteCode 15957 in database, skip it...
find record with SiteCode 12492 in database, skip it...
find record with SiteCode 12491 in database, skip it...
find record with SiteCode 12496 in database, skip it...
find record with SiteCode 12497 in database, skip it...
find record with SiteCode 15696 in database, skip it...
find record with SiteCode 16837 in database, skip it...
find record with SiteCode 14273 in database, skip it...
find record with SiteCode 16865 in database, skip it...
find record with SiteCode 10714 in database, skip it...
find record with SiteCode 13348 in database, skip it...
find record with SiteCode 14430 in database, skip it...
find record with SiteCode 11475 in database, skip it...
find record with SiteCode 18049 in database, skip it...
find record with SiteCode 11474 in database, skip it...
find record with SiteCode 14403 in database, skip it...
find record with SiteCode 11477 in database, skip it...
find record with SiteCode 11476 in database, skip it...
find record with SiteCode 18504 in database, skip it...
find record with SiteCode 18505 in database, skip it...
find record with SiteCode 18502 in database, skip it...
find record with SiteCode 14652 in database, skip it...
find record with SiteCode 18676 in database, skip it...
find record with SiteCode 14647 in database, skip it...
find record with SiteCode 14443 in database, skip it...
find record with SiteCode 14442 in database, skip it...
find record with SiteCode 14441 in database, skip it...
find record with SiteCode 18503 in database, skip it...
find record with SiteCode 16047 in database, skip it...
find record with SiteCode 10082 in database, skip it...
find record with SiteCode 10081 in database, skip it...
find record with SiteCode 10660 in database, skip it...
find record with SiteCode 16070 in database, skip it...
find record with SiteCode 15658 in database, skip it...
find record with SiteCode 15660 in database, skip it...
find record with SiteCode 16508 in database, skip it...
find record with SiteCode 13589 in database, skip it...
find record with SiteCode 13363 in database, skip it...
find record with SiteCode 10256 in database, skip it...
find record with SiteCode 10255 in database, skip it...
find record with SiteCode 18815 in database, skip it...
find record with SiteCode 12159 in database, skip it...
find record with SiteCode 12160 in database, skip it...
find record with SiteCode 12157 in database, skip it...
find record with SiteCode 12158 in database, skip it...
find record with SiteCode 12156 in database, skip it...
find record with SiteCode 13665 in database, skip it...
find record with SiteCode 16737 in database, skip it...
find record with SiteCode 16631 in database, skip it...
find record with SiteCode 12212 in database, skip it...
find record with SiteCode 15000 in database, skip it...
find record with SiteCode 10869 in database, skip it...
find record with SiteCode 18315 in database, skip it...
inert new Site record with SiteCode ==> 20744
find record with SiteCode 20610 in database, skip it...
find record with SiteCode 13624 in database, skip it...
find record with SiteCode 12188 in database, skip it...
find record with SiteCode 10098 in database, skip it...
find record with SiteCode 17269 in database, skip it...
find record with SiteCode 10864 in database, skip it...
find record with SiteCode 17484 in database, skip it...
find record with SiteCode 11166 in database, skip it...
find record with SiteCode 10867 in database, skip it...
find record with SiteCode 10866 in database, skip it...
find record with SiteCode 16077 in database, skip it...
find record with SiteCode 10868 in database, skip it...
find record with SiteCode 10865 in database, skip it...
find record with SiteCode 18313 in database, skip it...
find record with SiteCode 17663 in database, skip it...
find record with SiteCode 11168 in database, skip it...
find record with SiteCode 20206 in database, skip it...
find record with SiteCode 15616 in database, skip it...
find record with SiteCode 12189 in database, skip it...
find record with SiteCode 17965 in database, skip it...
find record with SiteCode 12187 in database, skip it...
find record with SiteCode 15120 in database, skip it...
find record with SiteCode 10100 in database, skip it...
find record with SiteCode 15121 in database, skip it...
find record with SiteCode 18348 in database, skip it...
find record with SiteCode 20381 in database, skip it...
find record with SiteCode 10515 in database, skip it...
find record with SiteCode 20618 in database, skip it...
find record with SiteCode 10770 in database, skip it...
find record with SiteCode 10769 in database, skip it...
find record with SiteCode 10702 in database, skip it...
find record with SiteCode 10703 in database, skip it...
find record with SiteCode 18016 in database, skip it...
find record with SiteCode 17307 in database, skip it...
find record with SiteCode 16302 in database, skip it...
find record with SiteCode 17903 in database, skip it...
find record with SiteCode 10529 in database, skip it...
find record with SiteCode 15355 in database, skip it...
find record with SiteCode 13482 in database, skip it...
find record with SiteCode 12702 in database, skip it...
find record with SiteCode 16583 in database, skip it...
find record with SiteCode 12701 in database, skip it...
find record with SiteCode 20358 in database, skip it...
find record with SiteCode 11922 in database, skip it...
find record with SiteCode 11923 in database, skip it...
find record with SiteCode 18798 in database, skip it...
find record with SiteCode 15676 in database, skip it...
find record with SiteCode 15678 in database, skip it...
find record with SiteCode 15677 in database, skip it...
find record with SiteCode 15679 in database, skip it...
find record with SiteCode 15680 in database, skip it...
find record with SiteCode 15681 in database, skip it...
find record with SiteCode 15682 in database, skip it...
find record with SiteCode 15683 in database, skip it...
find record with SiteCode 11921 in database, skip it...
find record with SiteCode 15706 in database, skip it...
find record with SiteCode 11051 in database, skip it...
find record with SiteCode 11052 in database, skip it...
find record with SiteCode 11053 in database, skip it...
find record with SiteCode 11054 in database, skip it...
find record with SiteCode 15161 in database, skip it...
find record with SiteCode 15162 in database, skip it...
find record with SiteCode 15705 in database, skip it...
find record with SiteCode 15155 in database, skip it...
find record with SiteCode 15156 in database, skip it...
find record with SiteCode 15157 in database, skip it...
find record with SiteCode 15158 in database, skip it...
find record with SiteCode 15151 in database, skip it...
find record with SiteCode 11046 in database, skip it...
find record with SiteCode 11047 in database, skip it...
find record with SiteCode 11048 in database, skip it...
find record with SiteCode 11049 in database, skip it...
find record with SiteCode 11050 in database, skip it...
find record with SiteCode 15160 in database, skip it...
find record with SiteCode 15159 in database, skip it...
find record with SiteCode 11055 in database, skip it...
find record with SiteCode 11056 in database, skip it...
find record with SiteCode 11057 in database, skip it...
find record with SiteCode 11058 in database, skip it...
find record with SiteCode 13829 in database, skip it...
find record with SiteCode 13830 in database, skip it...
find record with SiteCode 13831 in database, skip it...
find record with SiteCode 13833 in database, skip it...
find record with SiteCode 13832 in database, skip it...
find record with SiteCode 13834 in database, skip it...
find record with SiteCode 16235 in database, skip it...
find record with SiteCode 20727 in database, skip it...
find record with SiteCode 16471 in database, skip it...
find record with SiteCode 11191 in database, skip it...
find record with SiteCode 18830 in database, skip it...
find record with SiteCode 16660 in database, skip it...
find record with SiteCode 11170 in database, skip it...
find record with SiteCode 16661 in database, skip it...
find record with SiteCode 13496 in database, skip it...
find record with SiteCode 11571 in database, skip it...
find record with SiteCode 11572 in database, skip it...
find record with SiteCode 11732 in database, skip it...
find record with SiteCode 10559 in database, skip it...
find record with SiteCode 18589 in database, skip it...
find record with SiteCode 11580 in database, skip it...
find record with SiteCode 17089 in database, skip it...
find record with SiteCode 18440 in database, skip it...
find record with SiteCode 15270 in database, skip it...
find record with SiteCode 17047 in database, skip it...
find record with SiteCode 17535 in database, skip it...
find record with SiteCode 16266 in database, skip it...
find record with SiteCode 10465 in database, skip it...
find record with SiteCode 10466 in database, skip it...
find record with SiteCode 11518 in database, skip it...
find record with SiteCode 16864 in database, skip it...
find record with SiteCode 16354 in database, skip it...
find record with SiteCode 17932 in database, skip it...
find record with SiteCode 14266 in database, skip it...
find record with SiteCode 16768 in database, skip it...
find record with SiteCode 14270 in database, skip it...
find record with SiteCode 17906 in database, skip it...
find record with SiteCode 17524 in database, skip it...
find record with SiteCode 16353 in database, skip it...
find record with SiteCode 17618 in database, skip it...
find record with SiteCode 16400 in database, skip it...
find record with SiteCode 17551 in database, skip it...
find record with SiteCode 13685 in database, skip it...
find record with SiteCode 16856 in database, skip it...
find record with SiteCode 18393 in database, skip it...
find record with SiteCode 16254 in database, skip it...
find record with SiteCode 14471 in database, skip it...
find record with SiteCode 15511 in database, skip it...
find record with SiteCode 15136 in database, skip it...
find record with SiteCode 15510 in database, skip it...
find record with SiteCode 16457 in database, skip it...
find record with SiteCode 16458 in database, skip it...
find record with SiteCode 15135 in database, skip it...
find record with SiteCode 10309 in database, skip it...
find record with SiteCode 15258 in database, skip it...
find record with SiteCode 20635 in database, skip it...
find record with SiteCode 10305 in database, skip it...
find record with SiteCode 10307 in database, skip it...
find record with SiteCode 15257 in database, skip it...
find record with SiteCode 16460 in database, skip it...
find record with SiteCode 10302 in database, skip it...
find record with SiteCode 10308 in database, skip it...
find record with SiteCode 15260 in database, skip it...
find record with SiteCode 10295 in database, skip it...
find record with SiteCode 16726 in database, skip it...
find record with SiteCode 13631 in database, skip it...
find record with SiteCode 10310 in database, skip it...
find record with SiteCode 15022 in database, skip it...
find record with SiteCode 10311 in database, skip it...
find record with SiteCode 10303 in database, skip it...
find record with SiteCode 10342 in database, skip it...
find record with SiteCode 13630 in database, skip it...
find record with SiteCode 10304 in database, skip it...
find record with SiteCode 10306 in database, skip it...
find record with SiteCode 15248 in database, skip it...
find record with SiteCode 20108 in database, skip it...
find record with SiteCode 13812 in database, skip it...
find record with SiteCode 13813 in database, skip it...
find record with SiteCode 14016 in database, skip it...
find record with SiteCode 13814 in database, skip it...
find record with SiteCode 13535 in database, skip it...
find record with SiteCode 16385 in database, skip it...
find record with SiteCode 13534 in database, skip it...
find record with SiteCode 15630 in database, skip it...
